algorithms,avg. size (in MB),stdev. size,min size,max size,avg. time (in s),stdev. time,min time,max time
Elasticsearch,5.2136000000000005,0.11215988587726006,5012,5276,50.695702457428006,45.97949759685965,5.65632653236389,128.145993947983
FaissHNSW,106.87958620689655,67.53168771489337,11880,180600,17.13969349450078,13.811770355103663,0.982485771179199,37.6325573921204
Hnswlib,72.35568253968255,57.960309047787966,9924,157144,12.368676291571727,11.398119034007209,1.19191551208496,34.7278037071228
LuceneKNN,466.1614736842105,192.5595251936676,213508,662364,92.50948187761139,77.34022631423227,4.04222631454468,230.391288995743
N2,350.3221111111111,213.9813160410374,37068,621508,314.0968225598335,214.65346471139605,13.9542555809021,669.606494903564
NGT-PANNG,115.65837681159421,91.819634262449,16588,212832,9.748870880707452,11.537688600914997,0.714110851287842,30.2638647556305
NGT-QG,428.84288,357.32967123092214,84644,811660,256.3010104719798,180.9384106666766,49.6242289543152,782.15759563446
NN-Descent,335.65285714285716,148.46476547982553,57976,551812,10.607527443340846,8.909841575417694,0.304251670837402,32.2349367141724
OpenSearch,1.1325373134328358,0.024393740546644,1120,1180,92.3145094807468,71.61385879695278,8.82502770423889,239.504341602325
pg-embedding,107.84154838709678,58.157444694075345,8952,164248,755.7213509467339,497.77647508871235,23.8897933959961,1328.90547776222
PyNNDescent,557.6822752293577,296.1537814028837,189372,1354540,45.346890066741814,17.423681583484747,24.4395854473114,96.9127457141876
QSGNGT,391.4059047619047,347.5650731471741,39428,898676,231.20924883229387,134.6354453009165,81.3998494148254,672.056347370148
Vald,258.3448205128205,153.6249297135091,40824,368508,31.065238206814495,21.586776188060103,2.9269437789917,54.4590184688568
Vespa,56.05002985074627,43.721600589964254,1756,111860,90.82875777714285,68.73021124984194,4.94505143165588,180.139806985855
Voyager,86.28905,60.67885240425613,9460,163576,18.97641147077083,15.59777042696313,0.897842645645142,43.3043096065521
Weaviate,3.126533333333333,0.7624937915958544,2668,4904,82.2646041870117,72.34257059004388,6.09267425537109,242.719183921814
FLANN,34.52488888888889,34.871197688736096,0,93364,203.87341586748755,101.91070252593374,64.2556290626526,448.101221561432
MRPT,118.6148125,110.42695237957011,6324,256920,15.114818751811981,14.086649498609125,1.02120971679688,30.2736032009125
Scann,49.58858461538461,26.650708922244917,15748,93800,3.617483656223004,3.087085825572089,0.395300149917603,10.0723831653595
FaissIVF,54.09905882352941,25.320208091183876,27008,105488,4.60862162066441,5.125152492064441,0.0519142150878906,15.6297407150269
FaissIVFPQ,58.875090909090915,28.76834120871112,18176,84528,2.3279243707656865,1.6975286967156247,0.528570413589478,7.4060275554657
TinyKNN,171.59880597014927,103.0360865160573,57992,343908,29.116213225606664,22.541155865767596,7.20648074150085,71.7174115180969
