algorithms,avg. size (in MB),stdev. size,min size,max size,avg. time (in s),stdev. time,min time,max time
Elasticsearch,5.276,0.0,5276,5276,93.54321396235125,43.49827639622662,56.4793801307678,194.611627101898
FaissHNSW,155.2470814814815,28.91018375873338,73452,180600,28.378105953004624,11.181102504169935,9.46465158462524,62.2504849433899
Hnswlib,126.58717948717948,27.60550378686755,69128,157152,22.709313408941284,7.170862659155811,8.8479597568512,50.4827637672424
LuceneKNN,625.6624054054055,46.919670358372606,511172,689548,149.0351225685429,60.67680740914764,47.8315954208374,319.754357814789
N2,452.92843564356434,132.9314040187061,183864,649352,447.68026190701096,204.23485142843694,87.5400991439819,864.868265628815
NGT-PANNG,201.92805633802817,9.222682900552853,191560,214300,20.39301600926359,12.661265950395817,7.74064993858337,39.4892127513885
NGT-QG,805.688493150685,28.836551686730157,764536,881256,516.4084051063616,195.69485187530526,176.440733194351,1201.64094662666
NN-Descent,480.9141052631579,62.228899904282336,332228,598772,19.487327340850257,7.725629400782319,4.59837055206299,35.7475147247314
OpenSearch,1.1376047904191617,0.027319567702419705,1120,1180,149.7712693043098,58.71700813334768,53.7596321105957,286.158402204514
pg-embedding,121.58172839506173,33.37171922489155,70392,164248,920.9328652635032,454.918741364276,138.444134950638,2162.97873163223
PyNNDescent,856.1894323144105,396.8790178048015,370992,1970904,55.45797547086357,10.425754950493285,32.0195665359497,96.9127457141876
QSGNGT,719.0944000000001,191.09563928106783,379172,1022764,418.57016814351084,199.92899216179433,192.02374958992,1038.82752108574
Vald,366.9468,1.0782889408688192,364784,369376,49.12738327026367,18.16830613696649,28.7415387630463,80.8174443244934
Vespa,83.12107499999999,24.5092374411032,56376,140880,143.391022759676,48.02442210205451,48.7045030593872,288.135603189468
Voyager,137.78043243243243,27.514229850516553,75504,163612,32.472402363854485,12.231935334376828,9.80793023109436,66.2114131450653
Weaviate,3.4474630872483223,0.9149506791525673,2636,5092,163.26078416837143,131.54803627290482,39.5507023334503,1389.53327226639
FLANN,59.372067796610175,33.27399795527443,18800,96660,374.44030349941573,206.40966318474392,121.601978540421,1092.03807020187
MRPT,225.26298591549295,30.935552149632283,191512,256920,29.39566234299834,0.49185993604957184,28.9022533893585,31.8897113800049
Scann,71.57194385964912,9.605595135420822,63876,94460,5.8251030829914825,2.346866672703554,2.60821413993835,10.3863596916199
FaissIVF,78.22218867924529,4.023400387903406,74276,105488,8.050960241623645,5.122381390479032,0.0508565902709961,17.0915465354919
FaissIVFPQ,81.52647272727273,3.7002390873836317,74516,88912,4.218100422078913,2.233908287070406,1.53593969345093,8.700763463974
TinyKNN,267.49824242424245,55.195712117732974,188612,354288,48.9155386487643,16.471286304646295,24.5743689537048,83.67604804039
