algorithms,avg. size (in MB),stdev. size,min size,max size,avg. time (in s),stdev. time,min time,max time
Elasticsearch,7.085127272727273,4.21540455107884,5012,17164,71.27322135188365,59.42092290990435,12.6586937904358,194.611627101898
FaissHNSW,110.07107142857143,58.77858929426147,16908,180600,22.992118663021497,18.25852969120713,1.52581715583801,62.2504849433899
Hnswlib,68.84236144578313,50.65386396578782,8728,157144,15.545424395296944,14.470504916002314,0.847009897232056,50.4827637672424
LuceneKNN,475.507,173.07745937219363,207928,667212,119.02504813869794,100.31456269682415,5.11184310913086,319.754357814789
N2,389.0642909090909,158.89332467215203,16616,618248,353.41495594544836,165.25137562339054,8.04610204696655,645.75870013237
NGT-PANNG,105.85313513513513,88.72375789696983,13384,195816,4.872742084232536,4.012860298053553,0.610087871551514,11.9004983901978
NGT-QG,452.1065103448276,364.2194410671926,82164,881256,251.18422489823965,157.53337867509958,47.8081142902374,710.062938928604
NN-Descent,363.4530149253731,159.92206952786225,60732,598772,11.84818909061489,9.842915258167713,0.422922611236572,33.9136066436768
OpenSearch,1.5093959731543622,0.9189447027407003,1120,3820,124.79170765172715,90.70090485457975,8.20381879806519,286.158402204514
pg-embedding,90.76994957983193,53.60000281917851,8312,164248,641.4861464360181,554.4708791283998,16.7340137958527,2162.97873163223
PyNNDescent,804.3487393364928,477.2286066585827,190620,1970904,42.500445816754166,15.602787345197719,23.9756116867065,85.7090010643005
QSGNGT,426.8027894736842,373.48188459021804,84460,1022764,277.0002805433775,225.75945366318697,54.0315375328064,1038.82752108574
Vald,204.13538461538462,158.11327855538696,40832,369376,16.959739609079044,13.727950993654296,2.81875824928284,36.6604294776916
Vespa,71.98701587301588,45.746606064237966,1756,140880,116.96698856542983,87.84834155295499,3.99176263809204,288.135603189468
Voyager,99.12766896551724,58.16589588386974,9448,163612,27.04478326337091,20.33585092135265,0.927015781402588,66.2114131450653
Weaviate,4.189374045801526,2.747098545254911,2324,12372,108.59362163434501,97.45278161417805,4.87826251983643,342.711004734039
FLANN,54.593932203389826,38.80386648123752,7184,96660,256.0486684269824,211.47647187601095,59.668689250946,1092.03807020187
MRPT,144.64529411764704,118.03900055777413,13508,256920,16.109665044966867,14.143732455698382,1.02493572235107,31.8897113800049
Scann,62.06615767634855,27.36559706632974,25112,96848,4.867177437944531,3.3030320906233315,0.782195091247559,10.3863596916199
FaissIVF,51.29912,19.971699085095388,19220,89304,1.3470040893554687,1.4232426172822998,0.019981861114502,5.00332236289978
FaissIVFPQ,50.4913962264151,29.036059604762258,15148,86140,2.5767808410356627,2.1832350816014565,0.426310777664185,8.700763463974
TinyKNN,185.25421487603305,104.29545727745845,51532,335724,31.009068723552488,22.162740740377195,7.34853291511536,73.0332159996033
