algorithms,avg. size (in MB),stdev. size,min size,max size,avg. time (in s),stdev. time,min time,max time
Elasticsearch,5.234588235294118,0.0960092267768967,5012,5276,42.75146921008242,34.32455522094806,5.70238637924194,94.2586550712585
FaissHNSW,102.09538983050847,67.94548388904025,9636,180292,14.931293612819607,11.400211086168754,0.8559889793396,30.1019158363342
Hnswlib,70.75552542372881,60.097787635569674,8576,157140,10.697332547882857,10.02785594579869,0.847009897232056,32.2434778213501
LuceneKNN,461.5872463768116,211.53284385052365,203900,689548,78.17255610313971,69.5974817527773,5.11184310913086,191.006105899811
N2,361.1697272727273,232.14901961596325,16616,639136,352.24251979589457,274.2082512646099,8.04610204696655,835.96394443512
NGT-PANNG,115.24736507936507,93.87022725716157,16252,212232,13.439323164167858,16.522461905536595,0.610087871551514,39.4892127513885
NGT-QG,406.8796111111111,351.0183380421154,82164,803960,356.43227815959176,299.9723702350761,47.8081142902374,1201.64094662666
NN-Descent,357.3015593220339,179.95168337294027,59136,598772,13.988020399869505,11.838374517182244,0.371381998062134,35.7475147247314
OpenSearch,1.14,0.0282842712474619,1120,1180,97.47768626137389,73.0101543275505,8.03032732009888,199.623165845871
pg-embedding,78.73445161290323,54.43415627594007,8312,164248,457.71971344178723,397.80265579398485,16.7340137958527,1143.18610668182
PyNNDescent,603.4588936170213,418.22776971748425,190620,1714176,42.39354035702157,16.58305525435818,24.4044406414032,85.7090010643005
QSGNGT,318.89477777777773,284.3163503248832,39424,899128,208.7821260756917,122.31961450878137,54.0315375328064,541.629905223846
Vald,185.9976888888889,161.98508219816927,40860,369312,23.210939656363593,24.89462814968694,2.81875824928284,68.816947221756
Vespa,44.23189333333333,38.63641670050794,1756,99496,75.32814400990807,64.01674765270836,3.99176263809204,173.405262947083
Voyager,90.91794444444444,65.08979988359008,9448,163600,17.454913563198513,14.114159531765004,0.924023389816284,38.2008287906647
Weaviate,3.350242424242424,1.0367941565463554,2100,5092,93.54326878894459,174.0231878382494,4.87826251983643,1389.53327226639
FLANN,32.16347826086957,37.61951305520044,0,94280,246.99418019730115,167.70228632245264,71.7915318012238,679.641195297241
MRPT,116.58233766233766,108.09483083831486,6324,256912,15.426361102562444,14.206844613038221,1.01973605155945,31.2556056976318
Scann,45.31973529411765,26.439681684486853,15660,93576,3.247514661620645,2.980576847200796,0.396263837814331,10.0240919589996
FaissIVF,48.411199999999994,24.37546750102105,19220,82448,3.562201738357543,4.228188733737075,0.019981861114502,15.6531007289886
FaissIVFPQ,41.520551724137924,29.5193564778776,14560,87836,1.9915452990038645,1.922921715709081,0.426310777664185,6.53541970252991
TinyKNN,198.89629090909094,112.22036833653728,57720,354288,34.92538009123369,25.367715690534524,7.26871299743652,83.67604804039
