"algorithm","parameters","count","k-nn","epsilon","largeepsilon","rel","qps","p50","p95","p99","p999","distcomps","build","candidates","indexsize","queriessize","dataset"
"NGT-qg","QG-NGT(100, 64, 120, 96, 0.9002677331451037, 0.288)","10","0.0351444291609353","0.0572902338376891","0.623590096286107","0.110950906370839","68180.240991872","0.014667006325908","0.014667006325908","0.014667006325908","0.014667006325908","0","165.740208387375","10","86112","1.26300521598722","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 0.9162190214178765, 1.000)","10","0.0644429160935351","0.106189821182944","0.824690508940853","0.106359605172205","63433.7218223431","0.0157644863065798","0.0157644863065798","0.0157644863065798","0.0157644863065798","0","72.9764611721039","10","86392","1.36192544782341","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 0.9384793488373084, 0.523)","10","0.105502063273728","0.178404401650619","0.97372764786795","0.102540124868836","59926.8716074132","0.0166870049724821","0.0166870049724821","0.0166870049724821","0.0166870049724821","0","63.9426665306091","10","86012","1.43528266523694","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 0.936994349322512, 1.860)","10","0.208596973865199","0.372489683631362","0.999312242090784","0.100167402652144","40354.3978190098","0.0247804473474389","0.0247804473474389","0.0247804473474389","0.0247804473474389","0","107.090807676315","10","86444","2.14212092539958","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 0.9302534132829919, 6.758)","10","0.448486932599725","0.786588720770289","1","0.0983368498230352","27865.8186819469","0.0358862598659471","0.0358862598659471","0.0358862598659471","0.0358862598659471","0","149.335226535797","10","86116","3.09038112186494","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 0.9566559464286485, 7.397)","10","0.53878954607978","0.889408528198074","1","0.0979909634913986","23066.7206886903","0.0433524983236566","0.0433524983236566","0.0433524983236566","0.0433524983236566","0","114.921162128449","10","86116","3.73334385768251","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 0.99182386750329, 4.090)","10","0.620082530949106","0.952132049518569","1","0.0977265791899319","20957.2506202789","0.047716181143187","0.047716181143187","0.047716181143187","0.047716181143187","0","139.911090373993","10","86208","4.11351668031218","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 0.9678707208883078, 10.880)","10","0.633837689133425","0.953232462173315","1","0.0977113114863356","15842.569759316","0.0631210714345798","0.0631210714345798","0.0631210714345798","0.0631210714345798","0","99.0114302635193","10","86300","5.44734858745077","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 0.9570634911326557, 15.349)","10","0.647042640990371","0.959009628610729","1","0.0976747335661375","13263.4434089679","0.0753952044760808","0.0753952044760808","0.0753952044760808","0.0753952044760808","0","109.947953939438","10","86352","6.51052651543068","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 0.9630136351096317, 16.755)","10","0.702338376891334","0.976409903713893","1","0.0974464613290106","11507.245695999","0.0869017676450312","0.0869017676450312","0.0869017676450312","0.0869017676450312","0","127.210035800934","10","86272","7.49718936043889","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 0.982376635294614, 14.967)","10","0.746836313617607","0.986038514442916","1","0.0973200469695977","9290.2051592973","0.107640247733798","0.107640247733798","0.107640247733798","0.107640247733798","0","199.10009098053","10","86196","9.27815893427695","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 0.9664527469787254, 19.901)","10","0.748211829436039","0.984938101788171","1","0.0972972419127656","8960.48935573124","0.111601046228316","0.111601046228316","0.111601046228316","0.111601046228316","0","145.677814245224","10","86072","9.60572537759306","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 0.9871124738663816, 13.911)","10","0.766850068775791","0.990371389270977","1","0.0972381839247989","8956.2520519942","0.111653847852722","0.111653847852722","0.111653847852722","0.111653847852722","0","136.089690208435","10","86020","9.60446395441124","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 1.0032223350291423, 8.168)","10","0.830949105914718","0.995735900962861","1","0.0969842363965677","7501.32598598735","0.133309760713018","0.133309760713018","0.133309760713018","0.133309760713018","0","83.6410286426544","10","86560","11.5392932078537","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 1.00266803410857, 12.854)","10","0.86079779917469","0.997180192572215","1","0.0968645851763746","5095.05677439623","0.196268665604293","0.196268665604293","0.196268665604293","0.196268665604293","0","179.727252006531","10","86204","16.9191441463801","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 1.0312078819878865, 2.490)","10","0.92242090784044","0.999518569463549","1","0.0965192313814566","3534.88914907878","0.282894296105951","0.282894296105951","0.282894296105951","0.282894296105951","0","174.614448070526","10","86312","24.4171730314354","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 1.0145517957716839, 10.983)","10","0.929023383768913","0.999381017881706","1","0.0964996170152824","3152.19227049686","0.317239522701129","0.317239522701129","0.317239522701129","0.317239522701129","0","136.945268154144","10","86184","27.3409718076669","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 1.0155592013819077, 16.869)","10","0.9439477303989","0.999931224209078","1","0.0964614242039055","1993.64885404353","0.501592818181962","0.501592818181962","0.501592818181962","0.501592818181962","0","136.345561265945","10","86080","43.1771120703689","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 1.032949940852759, 11.598)","10","0.972214580467675","1","1","0.0962946370177145","1304.67388191155","0.766475044656545","0.766475044656545","0.766475044656545","0.766475044656545","0","133.290845870972","10","86208","66.0762825064695","kg-fb15k-237-keci-euclidean"
"NGT-qg","QG-NGT(100, 64, 120, 96, 1.0357432838845004, 12.641)","10","0.97888583218707","1","1","0.0962567632506082","1157.89537942535","0.863635912537575","0.863635912537575","0.863635912537575","0.863635912537575","0","149.567569732666","10","86136","74.3901405347589","kg-fb15k-237-keci-euclidean"
