"algorithms","NGT-panng","NGT-qg","bruteforce-blas","elasticsearch","faiss-ivf","faiss-ivfpqfs","flann","hnsw(faiss)","hnsw(vespa)","hnswlib","luceneknn","mrpt","n2","nndescent","opensearchknn","pg_embedding","pynndescent","qsgngt","scann","tinyknn","vald(NGT-anng)","voyager","weaviate","sum"
"NGT-panng","0","0","0","8","0","0","0","0","0","0","3","0","0","0","5","0","0","0","0","5","0","0","2","23"
"NGT-qg","0","0","0","8","0","0","0","2","5","0","8","0","0","0","8","0","0","0","0","6","2","5","6","50"
"bruteforce-blas","0","0","0","8","0","0","0","0","0","0","2","0","0","0","4","0","0","0","0","2","1","0","3","20"
"elasticsearch","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"faiss-ivf","8","8","6","8","0","0","6","7","8","7","8","7","3","8","8","0","7","6","7","8","8","8","8","144"
"faiss-ivfpqfs","4","6","1","8","0","0","1","8","7","5","8","3","6","2","8","0","4","5","5","8","6","8","8","111"
"flann","0","0","2","8","0","0","0","0","0","0","4","0","0","0","4","0","0","0","0","6","2","0","3","29"
"hnsw(faiss)","0","0","0","8","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","1","0","0","2","17"
"hnsw(vespa)","0","0","0","8","0","0","0","0","0","0","6","0","0","0","4","0","0","0","0","3","0","0","5","26"
"hnswlib","0","0","0","8","0","0","0","2","6","0","8","0","0","0","5","0","0","0","0","3","3","2","5","42"
"luceneknn","0","0","0","8","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","11"
"mrpt","0","0","0","8","0","0","0","1","0","0","6","0","0","0","7","0","0","0","0","8","4","0","6","40"
"n2","0","0","0","8","0","0","0","3","6","0","8","0","0","0","8","0","0","1","0","5","4","5","6","54"
"nndescent","0","0","0","8","0","0","0","0","0","0","5","0","0","0","8","0","0","0","0","8","0","0","5","34"
"opensearchknn","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"pg_embedding","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pynndescent","0","0","0","8","0","0","0","0","0","0","5","0","0","0","8","0","0","0","0","7","0","0","5","33"
"qsgngt","0","0","0","8","0","0","0","1","1","0","7","0","0","0","6","0","0","0","1","5","2","2","5","38"
"scann","0","0","0","7","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","1","0","12"
"tinyknn","0","0","0","7","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","8"
"vald(NGT-anng)","0","0","0","8","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","3","0","0","2","18"
"voyager","0","0","0","8","0","0","0","0","0","0","7","0","0","0","5","0","0","0","0","3","0","0","5","28"
"weaviate","0","0","0","8","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","12"
