"k-nn","qps","build","indexsize"
0.286117876278617,48601.8208920723,4.87821578979492,83092
0.386645559344049,43462.9007314534,830.272040367126,638708
0.613005358012664,38278.2927810853,2.83345723152161,81980
0.618793635330411,34406.8549889632,7.37034797668457,76616
0.629801915895438,30821.0975666123,5.98382806777954,77292
0.721959733723007,25836.5163038937,12.4381654262543,76700
0.759344049358662,20295.5455344611,12.9761390686035,78880
0.76090274395194,19687.8462147004,12.7308914661407,78376
0.777049845754181,19458.6414325999,12.7215750217438,76672
0.783276505926287,19078.0421297499,12.9926950931549,76696
0.908191264815717,18491.3348157737,6.53541970252991,87836
0.915432700113655,8662.01343493592,12.5776124000549,76376
0.970628348757915,8488.34153386812,5.30024838447571,83336
0.991898035395356,6650.50041770308,2.38296341896057,80380
0.998522487416788,1591.20358040377,0.504421710968018,82448
1.0,742.662675128482,0.0216450691223145,4
