"algorithms","NGT-panng","NGT-qg","bruteforce-blas","elasticsearch","faiss-ivf","faiss-ivfpqfs","flann","hnsw(faiss)","hnsw(vespa)","hnswlib","luceneknn","mrpt","n2","nndescent","opensearchknn","pg_embedding","pynndescent","qsgngt","scann","tinyknn","vald(NGT-anng)","voyager","weaviate","sum"
"NGT-panng","0","0","0","4","0","0","2","0","0","0","1","1","2","0","1","0","0","0","0","3","0","0","1","15"
"NGT-qg","0","0","0","4","0","0","2","1","4","0","4","2","2","1","4","2","2","0","1","3","2","4","4","42"
"bruteforce-blas","0","0","0","4","0","0","0","0","0","0","1","0","0","0","2","2","0","0","0","0","1","0","2","12"
"elasticsearch","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"faiss-ivf","2","2","2","2","0","0","3","2","2","2","2","3","2","2","2","0","2","2","2","2","2","2","2","42"
"faiss-ivfpqfs","2","1","0","4","0","0","2","2","2","1","2","1","3","0","2","0","1","1","1","3","2","2","2","34"
"flann","0","0","1","2","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","2","1","0","1","9"
"hnsw(faiss)","0","0","0","4","0","0","0","0","0","0","1","0","1","0","2","1","0","0","0","1","0","0","2","12"
"hnsw(vespa)","0","0","0","4","0","0","1","0","0","0","4","0","0","0","2","2","0","0","0","3","0","0","3","19"
"hnswlib","0","0","1","4","0","0","2","0","3","0","3","1","2","1","2","1","1","0","1","3","2","1","3","31"
"luceneknn","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5"
"mrpt","0","0","0","3","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","2","1","0","2","11"
"n2","0","0","0","2","0","0","0","1","1","0","2","0","0","0","2","0","0","0","0","1","1","1","2","13"
"nndescent","0","0","0","4","0","0","2","0","0","0","4","2","1","0","4","2","1","0","0","4","0","0","3","27"
"opensearchknn","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5"
"pg_embedding","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"pynndescent","0","0","0","4","0","0","1","0","0","0","1","0","1","0","2","0","0","0","0","3","0","0","2","14"
"qsgngt","1","0","0","4","0","0","2","0","2","0","4","2","2","0","3","2","1","0","0","3","1","1","4","32"
"scann","0","0","0","4","0","0","2","0","0","0","0","2","1","0","0","0","0","0","0","2","1","0","0","12"
"tinyknn","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3"
"vald(NGT-anng)","0","0","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","1","9"
"voyager","0","0","0","4","0","0","2","0","0","0","3","0","1","0","2","2","0","0","0","3","0","0","4","21"
"weaviate","0","0","0","4","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","7"
