"algorithms","NGT-panng","NGT-qg","bruteforce-blas","elasticsearch","faiss-ivf","faiss-ivfpqfs","flann","hnsw(faiss)","hnsw(vespa)","hnswlib","luceneknn","mrpt","n2","nndescent","opensearchknn","pg_embedding","pynndescent","qsgngt","scann","tinyknn","vald(NGT-anng)","voyager","weaviate","sum"
"NGT-panng","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","4"
"NGT-qg","0","0","0","1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","0","1","1","1","1","14"
"bruteforce-blas","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2"
"elasticsearch","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"faiss-ivf","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"faiss-ivfpqfs","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","6"
"flann","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hnsw(faiss)","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"hnsw(vespa)","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","4"
"hnswlib","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","5"
"luceneknn","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"mrpt","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"n2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"nndescent","0","0","0","1","0","0","1","0","0","0","1","1","1","0","1","1","1","0","0","1","0","0","0","9"
"opensearchknn","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2"
"pg_embedding","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pynndescent","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","4"
"qsgngt","1","0","0","1","0","0","1","0","1","0","1","1","1","0","0","1","1","0","0","1","0","1","1","12"
"scann","0","0","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","6"
"tinyknn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"vald(NGT-anng)","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2"
"voyager","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","1","7"
"weaviate","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
