"k-nn","qps","build","indexsize"
0.276822558459422,341691.95517704,0.296872615814209,27816
0.391265474552957,273525.207032642,0.517694711685181,27232
0.745873452544704,103933.705131485,0.46515417098999,27504
0.841196698762036,78639.8196776285,2.01246953010559,26708
0.850756533700138,77755.4826601395,1.90679550170898,26712
0.889133425034388,67980.3591126955,1.87434315681458,26768
0.900343878954608,59959.2769316978,0.42788553237915,29276
0.900825309491059,59941.0078040521,0.424120187759399,27272
0.90515818431912,58166.9895178587,1.60891842842102,29400
0.910591471801926,56980.5846694332,1.64522051811218,27008
0.920770288858322,52288.1004175496,1.77725863456726,28820
0.930330123796424,50100.7846867939,1.909588098526,26744
0.933287482806052,49653.3032844268,1.85216784477234,29368
0.934456671251719,47795.9012186988,1.29547262191772,27592
0.937895460797799,47658.4482702035,1.29821586608887,29280
0.950687757909216,43704.443285079,0.928983688354492,27232
0.952682255845942,43329.3404950685,1.61438536643982,27356
0.95687757909216,40463.6403301573,1.67568564414978,29012
0.961416781292985,38923.1496863039,1.79517650604248,29012
0.966231086657496,37948.7630426125,1.62134671211243,27040
0.970288858321871,34616.2509777204,1.28118705749512,27332
0.989133425034388,34368.6910574603,0.828959703445435,21036
0.998349381017882,15385.961101903,0.5207359790802,17856
0.998899587345255,14832.1084125785,0.541668891906738,17356
1.0,13453.2760422758,0.0217173099517822,23812
