"algorithms","NGT-panng","NGT-qg","bruteforce-blas","elasticsearch","faiss-ivf","faiss-ivfpqfs","flann","hnsw(faiss)","hnsw(vespa)","hnswlib","luceneknn","mrpt","n2","nndescent","opensearchknn","pg_embedding","pynndescent","qsgngt","scann","tinyknn","vald(NGT-anng)","voyager","weaviate","sum"
"NGT-panng","0","0","0","8","1","0","2","0","0","0","0","0","1","0","1","0","0","0","0","7","0","0","0","20"
"NGT-qg","3","0","0","8","1","0","3","2","6","0","6","3","3","0","6","2","2","0","0","8","4","6","7","70"
"bruteforce-blas","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","10"
"elasticsearch","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"faiss-ivf","4","4","5","6","0","0","3","3","4","4","5","3","0","4","6","2","4","3","3","5","4","4","4","80"
"faiss-ivfpqfs","3","3","0","8","1","0","2","4","4","3","4","2","6","0","4","0","1","4","3","8","5","4","4","73"
"flann","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","10"
"hnsw(faiss)","0","0","0","8","1","0","1","0","0","0","1","1","1","0","2","0","0","0","0","3","0","0","3","21"
"hnsw(vespa)","0","0","0","8","1","0","1","0","0","0","6","1","0","0","1","2","0","0","0","6","0","0","5","31"
"hnswlib","2","0","0","8","1","0","3","3","5","0","6","2","2","0","1","1","2","0","0","6","4","2","5","53"
"luceneknn","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"mrpt","0","0","0","8","0","0","0","0","0","0","2","0","0","0","3","1","0","0","0","4","1","0","3","22"
"n2","0","0","0","4","1","0","0","1","4","0","4","0","0","0","4","0","0","1","0","4","0","4","3","30"
"nndescent","0","0","0","8","1","0","3","0","0","0","6","3","1","0","7","4","1","0","0","8","0","0","3","45"
"opensearchknn","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","10"
"pg_embedding","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"pynndescent","0","0","0","8","1","0","2","0","0","0","4","1","1","0","4","0","0","0","0","7","0","0","2","30"
"qsgngt","1","0","0","8","1","0","3","0","2","0","6","2","2","0","4","2","1","0","0","7","2","2","5","48"
"scann","2","0","0","8","1","0","3","1","1","0","1","3","3","0","1","0","0","0","0","4","4","1","0","33"
"tinyknn","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"vald(NGT-anng)","0","0","0","8","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","6","0","0","1","18"
"voyager","0","0","0","8","0","0","1","0","0","0","7","0","1","0","2","4","0","0","0","6","0","0","5","34"
"weaviate","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
