"k-nn","qps","build","indexsize"
0.1646492434663,81473.2611384984,4.7580771446228,42560
0.411348005502063,59181.907440293,3.11791276931763,28840
0.49050894085282,32427.7139074246,336.465020656586,155996
0.572902338376891,31055.154198303,3.90749835968018,29600
0.599449793672627,28450.9499141606,283.933214902878,74792
0.902751031636864,27746.6435054804,4.09246706962585,31316
0.955639614855571,24965.9930323854,4.19269967079163,31304
0.995529573590096,11781.4796807022,3.97890114784241,31328
0.99566712517194,8807.27457790644,3.95818471908569,31404
0.998830811554333,7511.21168782212,2.72499299049377,31280
0.999105914718019,7336.76602901507,2.64653301239014,31304
0.999312242090784,5946.57702639849,2.18159127235413,31508
0.999931224209078,5898.68245189489,2.03635263442993,31480
1.0,3748.79318906187,0.591904401779175,31232
