algorithms,NGT-panng,NGT-qg,bruteforce-blas,elasticsearch,faiss-ivf,faiss-ivfpqfs,flann,hnsw(faiss),hnsw(vespa),hnswlib,luceneknn,mrpt,n2,nndescent,opensearchknn,pg_embedding,pynndescent,qsgngt,scann,tinyknn,vald(NGT-anng),voyager,weaviate,Wins,Losses,Diff,Rank
NGT-panng,0,0,0,4,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,1,12,5,7,8
NGT-qg,1,0,0,4,0,0,1,2,3,0,4,2,2,1,4,2,1,0,1,3,3,3,4,41,4,37,4
bruteforce-blas,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,2,0,0,2,12,6,6,10
elasticsearch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,-80,23
faiss-ivf,2,2,2,3,0,0,1,2,2,2,2,2,1,2,3,1,1,2,2,2,2,2,2,40,1,39,2
faiss-ivfpqfs,1,2,1,3,1,0,2,2,2,2,2,2,4,1,2,0,1,3,2,3,3,2,2,43,0,43,1
flann,0,0,2,3,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,3,0,0,2,15,12,3,14
hnsw(faiss),0,0,0,4,0,0,1,0,0,0,2,2,1,0,2,1,0,0,0,2,0,0,3,18,11,7,8
hnsw(vespa),0,0,0,4,0,0,0,0,0,0,3,1,0,0,2,1,0,0,0,3,0,0,3,17,12,5,12
hnswlib,0,0,1,4,0,0,2,3,3,0,4,2,2,1,2,2,2,0,1,3,3,3,4,42,4,38,3
luceneknn,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,7,38,-31,20
mrpt,0,0,0,4,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,3,1,0,1,13,14,-1,16
n2,0,0,0,2,0,0,0,1,2,0,2,0,0,0,2,0,0,0,0,1,1,2,2,15,13,2,15
nndescent,0,0,0,4,0,0,1,0,0,0,4,1,0,0,4,2,0,0,0,4,0,0,4,24,5,19,5
opensearchknn,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,-34,21
pg_embedding,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,-13,18
pynndescent,0,0,0,4,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,4,0,0,1,15,6,9,7
qsgngt,0,0,0,4,0,0,1,0,0,0,2,1,2,0,1,0,1,0,0,3,2,1,2,20,5,15,6
scann,1,0,0,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,11,6,5,12
tinyknn,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,48,-45,22
vald(NGT-anng),0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,9,16,-7,17
voyager,0,0,0,4,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,3,0,0,4,19,13,6,10
weaviate,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,7,37,-30,19
,5,4,6,80,1,0,12,11,12,4,38,14,13,5,38,15,6,5,6,48,16,13,37,,,,
