"k-nn","qps","build","indexsize"
0.229152459814905,77058.6509920768,8.16002726554871,84596
0.448839097256048,41910.5132499767,2.61459183692932,81504
0.772398116577366,33027.4513698588,4.07849764823914,82368
0.931831466147102,22215.5015169953,1.59430837631226,76672
0.93297613248904,4960.26604351493,43.3675355911255,123424
0.937944471505115,4538.78120738308,24.2168786525726,87912
0.951169020944958,3954.2349427123,50.4827637672424,151428
0.955333658061374,3665.8725491944,5.90818023681641,66496
0.959912323429128,3511.80382787036,5.81414222717285,90152
0.963143367429777,3448.09328173161,5.88101649284363,66484
0.972950154245819,3161.48305755567,5.93969655036926,90604
0.976822536125995,3096.29158747659,30.3256824016571,97452
0.981149537262543,2755.43132026181,5.85259699821472,90544
0.98339016074038,2736.63490622052,6.02518033981323,66908
0.990469232018185,2436.43243624539,37.0613269805908,110020
0.996208800129891,2010.5024144118,38.7621529102325,119468
1.0,1071.4524403155,0.190207958221436,74276
